Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
10982.88293,-0.205866717,-0.444498744,0.872541591,-0.014718259,-0.761734916,0.250243933,1.346044207,-0.509857577,-0.401379757,0.988882737,0.448390294,-0.96919961,0.58239596,-0.87482038,0.900228659,0.353482906,0.483425488,-0.910703823,-0.168308234,-0.44791448,1.003709524,1.053612399,0.7141035,1.08194206,1.247756834,1.048969943,1.346178264,-1.812038901,4876.740324
154626.1662,-1.149792577,1.437356328,-0.439517875,-1.368590116,1.582038183,-1.091390437,-0.72831515,-0.453744309,0.462548553,-1.591404647,-0.086844777,0.059142122,0.108542676,0.499526985,-0.164563071,1.14740933,0.094993751,1.028682611,-0.180489789,-0.093434071,-0.548439672,-0.273019761,0.371094051,-1.029934671,1.146623917,0.83070985,0.259573561,-1.525929719,1385.785609
133443.8961,0.536336032,-0.334817247,0.77067833,0.877825168,-2.502759522,-0.512914375,-1.241501231,0.134984721,0.418252555,-0.403289502,1.214509285,-0.950348183,1.314009475,-0.796440181,0.812689426,1.390499781,0.362570815,-0.942565391,0.921247685,-0.865039226,-0.154924602,0.119018406,1.392472163,0.383100212,-0.828515436,-0.492358074,-0.090124741,-0.292259762,3687.393003
114483.8507,0.003937304,-0.959008096,0.87675465,-0.108628664,0.910564122,-0.874806714,-1.326539016,-1.319347889,-1.060826796,-1.030717503,-0.050422852,-1.293145324,-0.711298625,-0.367224216,-1.281297673,0.48005958,-0.05888181,-0.402066745,-0.669410195,0.00549255,0.449655907,-1.404564257,-0.617636609,0.109470604,0.931979755,-1.717794096,-0.78944536,0.098310192,4190.93672
44717.18082,-0.659182302,1.066198544,-0.629700857,-0.901293819,0.218222733,0.568936674,0.833223878,1.144135203,0.694761031,0.491404567,-1.65049121,-0.303535986,-1.100779283,-0.410931156,-0.594776255,-0.135242896,-0.647240638,-1.121380638,-0.894332623,-1.146664715,0.584503216,-0.209452566,0.841528342,0.422655066,-0.70365455,0.766467368,-0.335730995,-1.098550841,3498.498209
76058.35092,-1.673504622,0.230953723,-0.355488641,0.340922199,-0.047790877,0.89241082,0.203701798,0.49973762,-1.2573403,0.459929026,0.777016096,-1.278022583,1.104049136,-0.966517026,0.593429173,-2.773562863,-1.034372828,0.037950436,-2.207750916,-1.628890184,0.715658245,0.407925018,0.584572628,-0.478567242,-1.515095343,0.154336687,-0.241231066,1.155885084,4186.998032
50482.59527,-0.309288546,-0.034529656,-0.202457526,0.784006411,-0.547279836,-0.319057021,-0.799110571,-0.304553638,0.795906505,0.633267502,1.091046102,0.29662832,0.524362747,-0.300140284,0.282543526,-0.835762135,-0.426757117,1.305969917,1.221800553,1.171245789,-0.135254325,0.944971665,0.393269223,0.957882228,0.243637047,1.290368122,-1.417623934,0.310591259,3374.256725
149144.272,1.363886524,0.442074017,-0.433303407,1.334445641,2.04332049,0.590274619,0.97182269,0.047017213,1.495133746,-0.731877086,-0.130915973,-1.586811716,-0.527469324,-0.862905339,1.811375029,-1.097862358,0.833807339,-0.386476717,1.521398498,0.899464971,-0.854672945,-0.041680802,-0.695671378,-0.956176883,0.197327263,-1.659755585,-0.1939494,-0.503789584,312.9079489
3557.000614,-0.534416454,0.940535585,-1.294942474,0.983504306,-1.434088869,2.433848078,-1.502765018,-2.369721409,1.167102914,1.080069,-1.031576247,2.003407267,-0.275323224,0.599594113,-0.228982861,-0.820343825,-0.109549291,-0.266914712,0.265155527,0.845601514,0.639787332,0.015378981,1.671482891,-1.244831238,-0.712494193,0.420452477,-0.987808835,0.057290354,4645.768461
64720.53254,1.495434253,-1.216854892,0.377296265,-0.048195486,-1.101251905,0.267742666,-0.588086826,0.71759158,-1.006115893,0.174639269,-0.579463274,0.403390023,0.471961333,-1.131453021,1.410568005,-1.40050796,-0.526078032,0.241238138,0.902469223,-0.744784207,-0.665485415,1.369708778,0.988669169,-1.603260467,-1.299116644,0.724723858,-1.400673991,0.968006475,2935.095596
